timestamp,open,high,low,close,volume
2025-12-04 14:57:00,1.2345,1.24,1.23,1.235,4197.0
2025-12-04 14:58:00,1.23,1.24,1.23,1.235,701.0
2025-12-04 14:59:00,1.235,1.24,1.23,1.235,5223.0
2025-12-04 15:00:00,1.24,1.24,1.23,1.24,2213.0
2025-12-04 15:01:00,1.235,1.24,1.235,1.235,314.0
2025-12-04 15:02:00,1.24,1.24,1.23,1.23,500.0
2025-12-04 15:03:00,1.235,1.24,1.23,1.23,3526.0
2025-12-04 15:04:00,1.23,1.24,1.23,1.235,4994.0
2025-12-04 15:05:00,1.235,1.24,1.23,1.2305,5644.0
2025-12-04 15:06:00,1.2335,1.235,1.23,1.235,1783.0
2025-12-04 15:07:00,1.235,1.235,1.23,1.23,1357.0
2025-12-04 15:08:00,1.235,1.235,1.23,1.23,6330.0
2025-12-04 15:09:00,1.23,1.235,1.23,1.235,1008.0
2025-12-04 15:10:00,1.235,1.24,1.23,1.235,4280.0
2025-12-04 15:11:00,1.235,1.235,1.235,1.235,416.0
2025-12-04 15:12:00,1.23,1.235,1.23,1.235,2827.0
2025-12-04 15:13:00,1.235,1.24,1.23,1.235,2783.0
2025-12-04 15:14:00,1.235,1.235,1.23,1.235,833.0
2025-12-04 15:15:00,1.23,1.24,1.23,1.24,629.0
2025-12-04 15:16:00,1.235,1.235,1.235,1.235,3154.0
2025-12-04 15:17:00,1.23,1.235,1.23,1.23,521.0
2025-12-04 15:18:00,1.235,1.235,1.23,1.23,885.0
2025-12-04 15:19:00,1.235,1.235,1.23,1.23,1190.0
2025-12-04 15:20:00,1.2328,1.24,1.23,1.235,2687.0
2025-12-04 15:21:00,1.235,1.235,1.235,1.235,4894.0
2025-12-04 15:22:00,1.23,1.2377,1.23,1.23,7353.0
2025-12-04 15:23:00,1.23,1.2373,1.23,1.235,2002.0
2025-12-04 15:24:00,1.24,1.24,1.23,1.235,868.0
2025-12-04 15:25:00,1.23,1.24,1.23,1.24,611.0
2025-12-04 15:26:00,1.235,1.235,1.23,1.235,3205.0
2025-12-04 15:27:00,1.235,1.235,1.23,1.235,1091.0
2025-12-04 15:28:00,1.23,1.235,1.23,1.23,1862.0
2025-12-04 15:29:00,1.23,1.235,1.23,1.235,659.0
2025-12-04 15:30:00,1.235,1.24,1.23,1.23,2778.0
2025-12-04 15:31:00,1.235,1.2355,1.23,1.23,2925.0
2025-12-04 15:32:00,1.235,1.235,1.23,1.23,1402.0
2025-12-04 15:33:00,1.235,1.235,1.23,1.23,547.0
2025-12-04 15:34:00,1.235,1.235,1.23,1.23,1512.0
2025-12-04 15:35:00,1.235,1.24,1.23,1.23,18119.0
2025-12-04 15:36:00,1.23,1.235,1.23,1.235,3849.0
2025-12-04 15:37:00,1.235,1.235,1.23,1.235,1452.0
2025-12-04 15:38:00,1.235,1.235,1.23,1.235,3158.0
2025-12-04 15:39:00,1.235,1.24,1.235,1.24,677.0
2025-12-04 15:40:00,1.23,1.235,1.23,1.23,1582.0
2025-12-04 15:41:00,1.23,1.24,1.23,1.235,83473.0
2025-12-04 15:42:00,1.24,1.25,1.24,1.25,28135.0
2025-12-04 15:43:00,1.25,1.25,1.25,1.25,832.0
2025-12-04 15:44:00,1.2473,1.25,1.245,1.245,7496.0
2025-12-04 15:45:00,1.245,1.245,1.245,1.245,3915.0
2025-12-04 15:46:00,1.245,1.245,1.245,1.245,141.0
2025-12-04 15:47:00,1.2437,1.25,1.2437,1.25,3106.0
2025-12-04 15:48:00,1.245,1.25,1.2442,1.2442,3468.0
2025-12-04 15:49:00,1.245,1.25,1.245,1.25,4392.0
2025-12-04 15:50:00,1.245,1.25,1.245,1.245,8879.0
2025-12-04 15:51:00,1.245,1.25,1.2418,1.245,62444.0
2025-12-04 15:52:00,1.245,1.25,1.245,1.25,6707.0
2025-12-04 15:53:00,1.245,1.245,1.24,1.245,3888.0
2025-12-04 15:54:00,1.245,1.25,1.24,1.245,13372.0
2025-12-04 15:55:00,1.245,1.245,1.24,1.245,7354.0
2025-12-04 15:56:00,1.245,1.25,1.24,1.25,5674.0
2025-12-04 15:57:00,1.245,1.25,1.24,1.245,8359.0
2025-12-04 15:58:00,1.24,1.25,1.24,1.245,54826.0
2025-12-04 15:59:00,1.245,1.25,1.24,1.24,46933.0
2025-12-04 16:00:00,1.24,1.2481,1.24,1.2481,115472.0
2025-12-04 16:02:00,1.2468,1.2468,1.24,1.24,1100.0
2025-12-04 16:04:00,1.24,1.24,1.24,1.24,2.0
2025-12-04 16:08:00,1.2469,1.2469,1.2469,1.2469,300.0
2025-12-04 16:10:00,1.24,1.24,1.2313,1.2313,3.0
2025-12-04 16:12:00,1.24,1.24,1.24,1.24,25.0
2025-12-04 16:17:00,1.2304,1.2304,1.2304,1.2304,40.0
2025-12-04 16:18:00,1.25,1.25,1.25,1.25,300.0
2025-12-04 16:22:00,1.23,1.23,1.23,1.23,24.0
2025-12-04 16:23:00,1.24,1.24,1.24,1.24,3.0
2025-12-04 16:24:00,1.2309,1.2309,1.2309,1.2309,200.0
2025-12-04 16:30:00,1.2398,1.2398,1.2398,1.2398,1.0
2025-12-04 16:34:00,1.24,1.24,1.24,1.24,1.0
2025-12-04 16:39:00,1.2301,1.2301,1.2301,1.2301,100.0
2025-12-04 16:51:00,1.2399,1.2399,1.2399,1.2399,20.0
2025-12-04 16:56:00,1.2398,1.2398,1.23,1.23,3702.0
2025-12-04 17:03:00,1.2297,1.2297,1.2297,1.2297,25.0
2025-12-04 17:04:00,1.23,1.23,1.22,1.23,1692.0
2025-12-04 17:19:00,1.22,1.22,1.22,1.22,214.0
2025-12-04 17:22:00,1.23,1.23,1.23,1.23,1.0
2025-12-04 17:25:00,1.24,1.24,1.24,1.24,42.0
2025-12-04 17:27:00,1.25,1.25,1.25,1.25,10.0
2025-12-04 17:31:00,1.2499,1.2499,1.2499,1.2499,2500.0
2025-12-04 17:34:00,1.2402,1.2402,1.2402,1.2402,13.0
2025-12-04 17:38:00,1.25,1.25,1.25,1.25,100.0
2025-12-04 17:48:00,1.25,1.25,1.25,1.25,1.0
2025-12-04 17:52:00,1.24,1.24,1.2397,1.2397,243.0
2025-12-04 17:56:00,1.23,1.23,1.23,1.23,250.0
2025-12-04 18:12:00,1.24,1.24,1.24,1.24,1500.0
2025-12-04 18:27:00,1.24,1.24,1.24,1.24,36.0
2025-12-04 18:35:00,1.24,1.2401,1.24,1.2401,400.0
2025-12-04 18:41:00,1.25,1.25,1.25,1.25,1000.0
2025-12-04 18:54:00,1.24,1.2401,1.24,1.2401,11800.0
2025-12-04 19:01:00,1.235,1.235,1.235,1.235,1.0
2025-12-04 19:05:00,1.2303,1.2303,1.2303,1.2303,6700.0
2025-12-04 19:38:00,1.24,1.24,1.24,1.24,44.0
2025-12-04 19:44:00,1.24,1.2499,1.24,1.2499,5003.0
