timestamp,open,high,low,close,volume
2025-12-04 18:04:00,12.4,12.4,12.4,12.4,50.0
2025-12-04 18:05:00,12.41,12.42,12.4,12.42,263.0
2025-12-04 18:06:00,12.43,12.43,12.43,12.43,20.0
2025-12-04 18:07:00,12.42,12.43,12.42,12.43,550.0
2025-12-04 18:10:00,12.42,12.4299,12.42,12.4299,1082.0
2025-12-04 18:11:00,12.42,12.425,12.42,12.4201,254.0
2025-12-04 18:12:00,12.4298,12.43,12.4298,12.43,478.0
2025-12-04 18:13:00,12.43,12.43,12.4074,12.41,607.0
2025-12-04 18:15:00,12.4193,12.42,12.4002,12.42,387.0
2025-12-04 18:16:00,12.4022,12.4041,12.4007,12.4007,570.0
2025-12-04 18:17:00,12.42,12.42,12.42,12.42,107.0
2025-12-04 18:18:00,12.42,12.42,12.4199,12.42,108.0
2025-12-04 18:19:00,12.4025,12.41,12.4004,12.41,1002.0
2025-12-04 18:20:00,12.42,12.42,12.4193,12.4193,102.0
2025-12-04 18:22:00,12.4,12.42,12.4,12.42,1533.0
2025-12-04 18:23:00,12.42,12.42,12.42,12.42,104.0
2025-12-04 18:25:00,12.42,12.46,12.4,12.43,5893.0
2025-12-04 18:27:00,12.4295,12.4295,12.4,12.4,12.0
2025-12-04 18:31:00,12.4001,12.4001,12.4001,12.4001,30.0
2025-12-04 18:32:00,12.4299,12.4299,12.4299,12.4299,40.0
2025-12-04 18:33:00,12.4093,12.4093,12.4093,12.4093,200.0
2025-12-04 18:34:00,12.43,12.43,12.4295,12.43,683.0
2025-12-04 18:35:00,12.4294,12.43,12.4294,12.43,695.0
2025-12-04 18:36:00,12.4294,12.43,12.4,12.4,3010.0
2025-12-04 18:37:00,12.43,12.43,12.43,12.43,4.0
2025-12-04 18:38:00,12.4297,12.4297,12.4297,12.4297,3.0
2025-12-04 18:39:00,12.43,12.43,12.43,12.43,16.0
2025-12-04 18:40:00,12.43,12.43,12.4299,12.4299,7.0
2025-12-04 18:41:00,12.42,12.43,12.4005,12.43,2237.0
2025-12-04 18:42:00,12.43,12.43,12.43,12.43,5.0
2025-12-04 18:43:00,12.41,12.43,12.41,12.43,174.0
2025-12-04 18:44:00,12.43,12.43,12.4291,12.43,86.0
2025-12-04 18:45:00,12.43,12.43,12.4001,12.4001,2299.0
2025-12-04 18:46:00,12.4299,12.4299,12.41,12.41,12.0
2025-12-04 18:47:00,12.4015,12.41,12.4,12.4,665.0
2025-12-04 18:48:00,12.4,12.4,12.4,12.4,8.0
2025-12-04 18:49:00,12.41,12.41,12.4,12.4,100.0
2025-12-04 18:50:00,12.42,12.42,12.42,12.42,225.0
2025-12-04 18:51:00,12.43,12.43,12.43,12.43,5.0
2025-12-04 18:52:00,12.41,12.43,12.4,12.43,505.0
2025-12-04 18:53:00,12.42,12.43,12.4,12.4056,1039.0
2025-12-04 18:54:00,12.4004,12.4004,12.4004,12.4004,50.0
