timestamp,open,high,low,close,volume
2025-12-04 16:31:00,1.42,1.42,1.42,1.42,5.0
2025-12-04 16:38:00,1.42,1.42,1.4101,1.4101,198.0
2025-12-04 16:40:00,1.4103,1.4103,1.4103,1.4103,27.0
2025-12-04 16:42:00,1.4192,1.4192,1.4192,1.4192,1.0
2025-12-04 16:46:00,1.42,1.42,1.42,1.42,50.0
2025-12-04 16:47:00,1.4102,1.4102,1.4102,1.4102,5.0
2025-12-04 16:48:00,1.41,1.41,1.41,1.41,500.0
2025-12-04 16:51:00,1.4,1.41,1.26,1.27,31716.0
2025-12-04 16:52:00,1.27,1.2891,1.25,1.2891,8402.0
2025-12-04 16:53:00,1.29,1.33,1.29,1.33,180.0
2025-12-04 16:54:00,1.355,1.42,1.2922,1.42,346.0
2025-12-04 16:56:00,1.3,1.305,1.29,1.305,373.0
2025-12-04 16:57:00,1.3192,1.3192,1.3192,1.3192,200.0
2025-12-04 16:58:00,1.33,1.33,1.33,1.33,200.0
2025-12-04 16:59:00,1.35,1.37,1.35,1.35,412.0
2025-12-04 17:00:00,1.35,1.35,1.35,1.35,2.0
2025-12-04 17:01:00,1.3325,1.34,1.33,1.34,501.0
2025-12-04 17:02:00,1.35,1.35,1.3494,1.3494,3.0
2025-12-04 17:03:00,1.33,1.33,1.33,1.33,1090.0
2025-12-04 17:04:00,1.35,1.35,1.3059,1.35,41.0
2025-12-04 17:05:00,1.34,1.35,1.34,1.35,334.0
2025-12-04 17:06:00,1.39,1.39,1.39,1.39,100.0
2025-12-04 17:08:00,1.4,1.4,1.39,1.39,213.0
2025-12-04 17:18:00,1.38,1.38,1.38,1.38,687.0
2025-12-04 17:19:00,1.37,1.37,1.36,1.36,251.0
2025-12-04 17:20:00,1.3509,1.3509,1.3509,1.3509,19.0
2025-12-04 17:21:00,1.35,1.35,1.3,1.3,5975.0
2025-12-04 17:22:00,1.3,1.3,1.28,1.29,2325.0
2025-12-04 17:24:00,1.3,1.3,1.3,1.3,2.0
2025-12-04 17:25:00,1.3,1.32,1.27,1.32,8035.0
2025-12-04 17:26:00,1.32,1.32,1.32,1.32,500.0
2025-12-04 17:27:00,1.32,1.32,1.32,1.32,45.0
2025-12-04 17:30:00,1.3199,1.3199,1.3199,1.3199,1.0
2025-12-04 17:33:00,1.3007,1.3007,1.3007,1.3007,35.0
2025-12-04 17:36:00,1.3,1.3,1.3,1.3,100.0
2025-12-04 17:40:00,1.3,1.3,1.3,1.3,842.0
2025-12-04 17:41:00,1.32,1.32,1.32,1.32,100.0
2025-12-04 17:42:00,1.32,1.32,1.32,1.32,400.0
2025-12-04 17:43:00,1.31,1.32,1.31,1.32,500.0
2025-12-04 17:44:00,1.32,1.32,1.32,1.32,1.0
2025-12-04 17:45:00,1.3,1.3,1.3,1.3,50.0
2025-12-04 17:47:00,1.32,1.32,1.32,1.32,10.0
2025-12-04 17:48:00,1.32,1.32,1.3,1.3,176.0
2025-12-04 17:51:00,1.3,1.31,1.3,1.3,9252.0
2025-12-04 17:52:00,1.3,1.31,1.3,1.31,2133.0
2025-12-04 17:53:00,1.32,1.32,1.29,1.29,8.0
2025-12-04 17:54:00,1.3,1.3,1.3,1.3,29.0
2025-12-04 17:55:00,1.32,1.32,1.3199,1.3199,200.0
2025-12-04 17:56:00,1.32,1.32,1.32,1.32,50.0
2025-12-04 17:57:00,1.3,1.3,1.3,1.3,10.0
2025-12-04 18:01:00,1.3,1.3,1.3,1.3,19.0
2025-12-04 18:03:00,1.3197,1.3197,1.31,1.31,13.0
2025-12-04 18:04:00,1.3,1.3,1.3,1.3,1.0
2025-12-04 18:08:00,1.3,1.3199,1.3,1.3199,656.0
2025-12-04 18:10:00,1.32,1.32,1.32,1.32,100.0
2025-12-04 18:11:00,1.32,1.32,1.32,1.32,13.0
2025-12-04 18:15:00,1.32,1.32,1.29,1.31,5399.0
2025-12-04 18:17:00,1.31,1.31,1.31,1.31,25.0
2025-12-04 18:18:00,1.31,1.31,1.31,1.31,1000.0
2025-12-04 18:19:00,1.31,1.31,1.31,1.31,400.0
2025-12-04 18:29:00,1.31,1.31,1.31,1.31,19.0
2025-12-04 18:33:00,1.2801,1.2801,1.2801,1.2801,1000.0
2025-12-04 18:37:00,1.2857,1.2857,1.2857,1.2857,30.0
2025-12-04 18:38:00,1.31,1.31,1.31,1.31,2.0
2025-12-04 18:42:00,1.3,1.3,1.3,1.3,585.0
2025-12-04 18:44:00,1.3,1.3,1.3,1.3,1.0
2025-12-04 18:45:00,1.3,1.3,1.3,1.3,50.0
2025-12-04 18:47:00,1.31,1.31,1.31,1.31,185.0
2025-12-04 18:49:00,1.3,1.3,1.3,1.3,220.0
2025-12-04 18:50:00,1.31,1.31,1.31,1.31,5.0
2025-12-04 18:52:00,1.3096,1.3096,1.3092,1.3092,21.0
2025-12-04 18:58:00,1.31,1.31,1.31,1.31,1.0
2025-12-04 19:01:00,1.31,1.31,1.31,1.31,2.0
2025-12-04 19:02:00,1.3,1.3,1.3,1.3,28.0
2025-12-04 19:07:00,1.31,1.31,1.3001,1.3001,17.0
2025-12-04 19:08:00,1.3084,1.31,1.3084,1.3099,640.0
2025-12-04 19:10:00,1.3001,1.3001,1.28,1.28,56757.0
2025-12-04 19:11:00,1.2899,1.2899,1.2899,1.2899,500.0
2025-12-04 19:15:00,1.29,1.29,1.29,1.29,10.0
2025-12-04 19:16:00,1.28,1.28,1.28,1.28,959.0
2025-12-04 19:18:00,1.29,1.29,1.29,1.29,200.0
2025-12-04 19:20:00,1.29,1.29,1.29,1.29,1000.0
2025-12-04 19:24:00,1.29,1.29,1.285,1.285,4613.0
2025-12-04 19:25:00,1.29,1.29,1.29,1.29,145.0
2025-12-04 19:27:00,1.285,1.29,1.285,1.29,5025.0
2025-12-04 19:28:00,1.29,1.29,1.29,1.29,100.0
2025-12-04 19:29:00,1.29,1.29,1.2898,1.29,1000.0
2025-12-04 19:30:00,1.2816,1.2816,1.2816,1.2816,100.0
2025-12-04 19:31:00,1.29,1.29,1.29,1.29,1000.0
2025-12-04 19:33:00,1.29,1.29,1.29,1.29,450.0
2025-12-04 19:34:00,1.28,1.28,1.28,1.28,300.0
2025-12-04 19:35:00,1.29,1.29,1.29,1.29,10.0
2025-12-04 19:36:00,1.28,1.28,1.28,1.28,350.0
2025-12-04 19:38:00,1.29,1.29,1.29,1.29,5.0
2025-12-04 19:39:00,1.29,1.29,1.29,1.29,62.0
2025-12-04 19:42:00,1.31,1.33,1.31,1.33,2085.0
2025-12-04 19:43:00,1.33,1.33,1.33,1.33,9965.0
2025-12-04 19:45:00,1.33,1.33,1.33,1.33,374.0
2025-12-04 19:46:00,1.3492,1.3492,1.3492,1.3492,86.0
2025-12-04 19:51:00,1.33,1.33,1.33,1.33,380.0
