iter	Logloss
264	0.2304146642
265	0.23001897
266	0.229281714
267	0.2284937741
268	0.2276225897
269	0.2269946497
270	0.2263567319
271	0.2259601478
272	0.2253581748
273	0.2246487569
274	0.2241643201
275	0.2233080555
276	0.2226540679
277	0.222145394
278	0.2216476399
279	0.2210476406
280	0.220360971
281	0.2200539772
282	0.2193350517
283	0.2185143112
284	0.217386564
285	0.2169446217
286	0.2163783652
287	0.2152430924
288	0.2143104879
289	0.2138445343
290	0.2132409922
291	0.2123412575
292	0.2118087466
293	0.2108797456
294	0.2102830622
295	0.2092581848
296	0.2086103668
297	0.2077639573
298	0.2072991984
299	0.2067968158
300	0.2064803026
301	0.2058382497
302	0.2052516734
303	0.2043994967
304	0.2038776722
305	0.2031160217
306	0.2023009131
307	0.2016381593
308	0.2009058231
309	0.2003238475
310	0.1999136399
311	0.1995326292
312	0.1990827688
313	0.1984548503
314	0.1976473121
315	0.1971589277
316	0.1967149495
317	0.1962574756
318	0.1955596816
319	0.1951763454
320	0.1946797701
321	0.1942263968
322	0.1936186196
323	0.1928808182
324	0.1922501256
325	0.1915604418
326	0.1909556996
327	0.1907001643
328	0.1900079243
329	0.1893678943
330	0.1888333314
331	0.1883943794
332	0.1880520024
333	0.1874784555
334	0.1868448287
335	0.1862489852
336	0.185408095
337	0.1842947464
338	0.1835594888
339	0.1828856594
340	0.1824706445
341	0.1819833893
342	0.1816705677
343	0.1811377823
344	0.1807484845
345	0.180236599
346	0.1796597327
347	0.1787553782
348	0.1782751964
349	0.1777475196
350	0.1771271334
351	0.1765889914
352	0.1758874263
353	0.1751832367
354	0.1745728727
355	0.1737239972
356	0.1734632365
357	0.1730768581
358	0.1728053324
359	0.1725076777
360	0.1720615372
361	0.1715202849
362	0.1711043358
363	0.1708734892
364	0.1704603268
365	0.1700250378
366	0.1695199842
367	0.1691433927
368	0.1687217597
369	0.1685314331
370	0.1680106402
371	0.1673010116
372	0.166551778
373	0.1660360838
374	0.1654933262
375	0.1649065945
376	0.1644913442
377	0.1641298789
378	0.1637559861
379	0.163177142
380	0.1625658994
381	0.1621293035
382	0.161642483
383	0.1610228871
384	0.1604202331
385	0.1600910703
386	0.1597975193
387	0.159049471
388	0.1586996739
389	0.1584522769
390	0.1580201187
391	0.1577056769
392	0.1571657228
393	0.1568245235
394	0.1564181836
395	0.1561418335
396	0.1558766595
397	0.1555230938
398	0.1550317066
399	0.1545773281
400	0.1540392681
401	0.1533516206
402	0.1526088573
403	0.1523104824
404	0.151777507
405	0.1513691173
406	0.150840286
407	0.1505726047
408	0.1502320302
409	0.1498951936
410	0.149607557
411	0.1494066155
412	0.1490464377
413	0.1487151486
414	0.1484200473
415	0.147816848
416	0.1472176881
417	0.1469240066
418	0.1467009818
419	0.14626103
420	0.1459073186
421	0.1452178845
422	0.144962549
423	0.1446097046
424	0.144403707
425	0.1438986967
426	0.143504705
427	0.1432644575
428	0.1430990135
429	0.1425733934
430	0.1421857568
431	0.1419928685
432	0.1413985735
433	0.1408248514
434	0.1404190938
435	0.1401334642
436	0.1397912709
437	0.1391563403
438	0.1388784925
439	0.1382716561
440	0.1378776003
441	0.1374770528
442	0.137173477
443	0.1367912511
444	0.1363178393
445	0.1360400386
446	0.1353709455
447	0.1350806761
448	0.1346686365
449	0.134399581
450	0.134205488
451	0.1337445523
452	0.1335713717
453	0.1331978206
454	0.132762772
455	0.1325132128
456	0.1321503726
457	0.1319127063
458	0.1317306209
459	0.1314725915
460	0.131215134
461	0.130807705
462	0.1304071513
463	0.1301751954
464	0.1298352792
465	0.1295245382
466	0.1293376541
467	0.1290648521
468	0.1288586444
469	0.1285888652
470	0.1283806263
471	0.1280858726
472	0.127837481
473	0.1276371
474	0.1272433363
475	0.127159011
476	0.1267969001
477	0.1264640102
478	0.1261857326
479	0.1258988592
480	0.1252682993
481	0.1250053397
482	0.1247261324
483	0.124395736
484	0.1238435919
485	0.1236923595
486	0.1233142018
487	0.1229957515
488	0.122705347
489	0.1222802674
490	0.1220095151
491	0.1216464072
492	0.1212947158
493	0.1208759107
494	0.1205794104
495	0.1203042309
496	0.1200675074
497	0.1197140052
498	0.1193739096
499	0.1191367136
